,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group,atemp_group
44,45,2011-02-14,1,2011,2,False,1,True,1,17.015,19.9175,0.375833,0.417908,208,1705,1913,2,2
45,46,2011-02-15,1,2011,2,False,2,True,1,10.909567000000001,12.7137,0.314348,0.291374,140,1675,1815,1,2
46,47,2011-02-16,1,2011,2,False,3,True,1,13.048701000000001,15.809999999999999,0.423478,0.251791,218,1897,2115,2,2
47,48,2011-02-17,1,2011,2,False,4,True,1,17.869153,21.4329,0.505,0.230104,259,2216,2475,2,2
48,49,2011-02-18,1,2011,2,False,5,True,1,21.388347,25.599149999999998,0.516667,0.264925,579,2348,2927,2,3
49,50,2011-02-19,1,2011,2,False,6,False,1,16.365847,19.5702,0.187917,0.507463,532,1103,1635,2,2
50,51,2011-02-20,1,2011,2,False,0,False,1,11.693897,13.8665,0.407826,0.223235,639,1173,1812,1,2
51,52,2011-02-21,1,2011,2,True,1,False,2,12.436653000000002,14.203750000000001,0.605,0.307846,195,912,1107,2,2
52,53,2011-02-22,1,2011,2,False,2,True,1,7.471102,9.30165,0.577778,0.195683,74,1376,1450,1,1
53,54,2011-02-23,1,2011,2,False,3,True,1,9.091299,12.28585,0.423043,0.094113,139,1778,1917,1,2
54,55,2011-02-24,1,2011,2,False,4,True,2,12.121732000000002,14.459549999999998,0.697391,0.250496,100,1707,1807,2,2
55,56,2011-02-25,1,2011,2,False,5,True,2,14.938268,17.52305,0.712174,0.346539,120,1341,1461,2,2
56,57,2011-02-26,1,2011,2,False,6,False,1,11.5825,14.1096,0.537917,0.186571,424,1545,1969,1,2
57,58,2011-02-27,1,2011,2,False,0,False,1,14.082598,17.55545,0.68,0.125248,694,1708,2402,2,2
58,59,2011-02-28,1,2011,2,False,1,True,2,16.698193,20.005899999999997,0.876364,0.289686,81,1365,1446,2,2
59,60,2011-03-01,1,2011,3,False,2,True,1,10.933347,13.19395,0.535,0.216425,137,1714,1851,1,2
60,61,2011-03-02,1,2011,3,False,3,True,1,13.735000000000001,16.00355,0.449583,0.307833,231,1903,2134,2,2
61,62,2011-03-03,1,2011,3,False,4,True,1,8.131653,10.00665,0.318333,0.225754,123,1562,1685,1,1
62,63,2011-03-04,1,2011,3,False,5,True,2,10.728347,12.783949999999999,0.610417,0.203346,214,1730,1944,1,2
63,64,2011-03-05,1,2011,3,False,6,False,2,15.750846999999998,18.93895,0.789167,0.251871,640,1437,2077,2,2
64,65,2011-03-06,1,2011,3,False,0,False,2,15.437402,18.3126,0.948261,0.343287,114,491,605,2,2
65,66,2011-03-07,1,2011,3,False,1,True,1,10.731299,11.92305,0.551304,0.341352,244,1628,1872,1,1
66,67,2011-03-08,1,2011,3,False,2,True,1,11.9925,15.120000000000001,0.420833,0.12065,316,1817,2133,1,2
67,68,2011-03-09,1,2011,3,False,3,True,2,12.129153,14.3304,0.775417,0.22015,191,1700,1891,2,2
68,69,2011-03-10,1,2011,3,False,4,True,3,15.952731,19.2834,0.0,0.261877,46,577,623,2,2
69,70,2011-03-11,1,2011,3,False,5,True,2,12.977402000000001,15.25,0.649565,0.23297,247,1730,1977,2,2
70,71,2011-03-12,1,2011,3,False,6,False,1,13.495847,16.287499999999998,0.594583,0.220775,724,1408,2132,2,2
71,72,2011-03-13,1,2011,3,False,0,False,1,15.758268000000001,19.004550000000002,0.527391,0.270604,982,1435,2417,2,2
72,73,2011-03-14,1,2011,3,False,1,True,1,13.333896999999999,16.6,0.496957,0.136926,359,1687,2046,2,2
73,74,2011-03-15,1,2011,3,False,2,True,2,13.013031,15.908900000000001,0.655652,0.184309,289,1767,2056,2,2
74,75,2011-03-16,1,2011,3,False,3,True,2,14.973897000000001,18.3465,0.776522,0.203117,321,1871,2192,2,2
75,76,2011-03-17,1,2011,3,False,4,True,1,17.015,20.51665,0.602917,0.209579,424,2320,2744,2,2
76,77,2011-03-18,1,2011,3,False,5,True,1,22.14,26.35045,0.525217,0.231017,884,2355,3239,2,3
77,78,2011-03-19,1,2011,3,False,6,False,1,19.3725,23.32625,0.379167,0.368167,1424,1693,3117,2,2
78,79,2011-03-20,1,2011,3,False,0,False,1,13.6325,16.287499999999998,0.47375,0.207721,1047,1424,2471,2,2
79,80,2011-03-21,2,2011,3,False,1,True,2,17.647835,20.48675,0.737391,0.288783,401,1676,2077,2,2
80,81,2011-03-22,2,2011,3,False,2,True,1,18.108347,22.0321,0.624583,0.22575,460,2243,2703,2,2
81,82,2011-03-23,2,2011,3,False,3,True,2,14.225237,16.89695,0.839565,0.234261,203,1918,2121,2,2
82,83,2011-03-24,2,2011,3,False,4,True,2,11.684999999999999,13.541649999999999,0.805833,0.243787,166,1699,1865,1,2
83,84,2011-03-25,2,2011,3,False,5,True,1,10.830846999999999,12.8156,0.495,0.230725,300,1910,2210,1,2
84,85,2011-03-26,2,2011,3,False,6,False,1,10.899153,12.87855,0.394167,0.209571,981,1515,2496,1,2
85,86,2011-03-27,2,2011,3,False,0,False,2,10.374763000000002,12.51695,0.493913,0.1843,472,1221,1693,1,2
86,87,2011-03-28,2,2011,3,False,1,True,1,10.838268000000001,12.878700000000002,0.302174,0.212204,222,1806,2028,1,2
87,88,2011-03-29,2,2011,3,False,2,True,1,12.4025,14.6454,0.314167,0.226996,317,2108,2425,2,2
88,89,2011-03-30,2,2011,3,False,3,True,2,12.299999999999999,14.8675,0.646667,0.172888,168,1368,1536,2,2
89,90,2011-03-31,2,2011,3,False,4,True,3,11.001653,12.87875,0.918333,0.217646,179,1506,1685,1,2
90,91,2011-04-01,2,2011,4,False,5,True,2,12.299999999999999,14.172699999999999,0.68625,0.258708,307,1920,2227,2,2
91,92,2011-04-02,2,2011,4,False,6,False,2,12.915000000000001,15.78185,0.65375,0.197146,898,1354,2252,2,2
92,93,2011-04-03,2,2011,4,False,0,False,1,15.511652999999999,18.93835,0.48,0.182213,1651,1598,3249,2,2
93,94,2011-04-04,2,2011,4,False,1,True,1,23.506653,27.14645,0.42625,0.385571,734,2381,3115,2,3
94,95,2011-04-05,2,2011,4,False,2,True,2,16.980847,19.9175,0.642083,0.388067,167,1628,1795,2,2
95,96,2011-04-06,2,2011,4,False,3,True,1,16.024153,19.3804,0.470833,0.263063,413,2395,2808,2,2
96,97,2011-04-07,2,2011,4,False,4,True,1,17.9375,21.684800000000003,0.602917,0.162312,571,2570,3141,2,2
97,98,2011-04-08,2,2011,4,False,5,True,2,13.769153,16.223950000000002,0.83625,0.226992,172,1299,1471,2,2
98,99,2011-04-09,2,2011,4,False,6,False,2,14.0425,17.07645,0.8775,0.133083,879,1576,2455,2,2
99,100,2011-04-10,2,2011,4,False,0,False,2,17.493347,21.33685,0.8575,0.146767,1188,1707,2895,2,2
100,101,2011-04-11,2,2011,4,False,1,True,2,24.421732,28.260849999999998,0.716956,0.324474,855,2493,3348,2,3
101,102,2011-04-12,2,2011,4,False,2,True,2,20.6025,24.6527,0.739167,0.274879,257,1777,2034,2,2
102,103,2011-04-13,2,2011,4,False,3,True,2,16.912499999999998,20.864150000000002,0.819167,0.250617,209,1953,2162,2,2
103,104,2011-04-14,2,2011,4,False,4,True,1,19.1675,23.1371,0.540417,0.1107,529,2738,3267,2,2
104,105,2011-04-15,2,2011,4,True,5,False,1,18.313347,22.09565,0.67125,0.226375,642,2484,3126,2,2
105,106,2011-04-16,2,2011,4,False,6,False,3,17.664153000000002,21.2746,0.888333,0.340808,121,674,795,2,2
106,107,2011-04-17,2,2011,4,False,0,False,1,18.723347,22.2848,0.479583,0.303496,1558,2186,3744,2,2
107,108,2011-04-18,2,2011,4,False,1,True,1,21.0125,25.1573,0.5425,0.163567,669,2760,3429,2,3
108,109,2011-04-19,2,2011,4,False,2,True,2,20.739152999999998,24.4629,0.665833,0.157971,409,2795,3204,2,2
109,110,2011-04-20,2,2011,4,False,3,True,1,24.395,28.2196,0.614167,0.241925,613,3331,3944,2,3
110,111,2011-04-21,2,2011,4,False,4,True,1,18.825847,22.6946,0.407083,0.325258,745,3444,4189,2,2
111,112,2011-04-22,2,2011,4,False,5,True,2,13.803347,16.0977,0.729583,0.219521,177,1506,1683,2,2
112,113,2011-04-23,2,2011,4,False,6,False,2,18.86,22.50605,0.887917,0.230725,1462,2574,4036,2,2
113,114,2011-04-24,2,2011,4,False,0,False,2,23.848347,27.58815,0.810833,0.192175,1710,2481,4191,2,3
114,115,2011-04-25,2,2011,4,False,1,True,1,24.873347,28.725,0.776667,0.185333,773,3300,4073,2,3
115,116,2011-04-26,2,2011,4,False,2,True,1,25.898346999999998,29.704150000000002,0.729167,0.3265,678,3722,4400,3,3
116,117,2011-04-27,2,2011,4,False,3,True,2,25.419999999999998,28.7571,0.835417,0.3122,547,3325,3872,3,3
117,118,2011-04-28,2,2011,4,False,4,True,2,25.317500000000003,28.946450000000002,0.700833,0.320908,569,3489,4058,3,3
118,119,2011-04-29,2,2011,4,False,5,True,1,20.91,24.87315,0.457083,0.240063,878,3717,4595,2,2
119,120,2011-04-30,2,2011,4,False,6,False,1,19.3725,23.201050000000002,0.503333,0.235075,1965,3347,5312,2,2
120,121,2011-05-01,2,2011,5,False,0,False,2,18.518347,22.4102,0.762083,0.106354,1138,2213,3351,2,2
121,122,2011-05-02,2,2011,5,False,1,True,2,22.515846999999997,26.64165,0.73,0.183454,847,3554,4401,2,3
122,123,2011-05-03,2,2011,5,False,2,True,2,25.283347,29.10395,0.697083,0.342667,603,3848,4451,3,3
123,124,2011-05-04,2,2011,5,False,3,True,2,16.980847,20.2325,0.737083,0.328996,255,2378,2633,2,2
124,125,2011-05-05,2,2011,5,False,4,True,1,18.825847,22.09585,0.444167,0.295392,614,3819,4433,2,2
125,126,2011-05-06,2,2011,5,False,5,True,1,19.645847,23.70585,0.59,0.228246,894,3714,4608,2,2
126,127,2011-05-07,2,2011,5,False,6,False,1,21.32,25.63105,0.54125,0.16045,1612,3102,4714,2,3
127,128,2011-05-08,2,2011,5,False,0,False,1,21.661653,25.946649999999998,0.631667,0.0746375,1401,2932,4333,2,3
128,129,2011-05-09,2,2011,5,False,1,True,1,21.8325,26.2623,0.58875,0.176,664,3698,4362,2,3
129,130,2011-05-10,2,2011,5,False,2,True,1,21.8325,26.13605,0.489167,0.115671,694,4109,4803,2,3
130,131,2011-05-11,2,2011,5,False,3,True,1,22.2425,26.419999999999998,0.632917,0.120642,550,3632,4182,2,3
131,132,2011-05-12,2,2011,5,False,4,True,1,21.935000000000002,26.16815,0.7475,0.189667,695,4169,4864,2,3
132,133,2011-05-13,2,2011,5,False,5,True,2,21.0125,24.715,0.863333,0.179725,692,3413,4105,2,2
133,134,2011-05-14,2,2011,5,False,6,False,2,21.354153,25.03145,0.9225,0.13495,902,2507,3409,2,3
134,135,2011-05-15,2,2011,5,False,0,False,2,23.0625,26.8,0.867083,0.152979,1582,2971,4553,2,3
135,136,2011-05-16,2,2011,5,False,1,True,1,23.677500000000002,27.5256,0.787917,0.126871,773,3185,3958,2,3
136,137,2011-05-17,2,2011,5,False,2,True,2,23.028347,26.926450000000003,0.837917,0.277354,678,3445,4123,2,3
137,138,2011-05-18,2,2011,5,False,3,True,2,22.55,26.3579,0.87,0.201492,536,3319,3855,2,3
138,139,2011-05-19,2,2011,5,False,4,True,2,21.764153,25.537100000000002,0.829583,0.108213,735,3840,4575,2,3
139,140,2011-05-20,2,2011,5,False,5,True,1,22.003347,26.4521,0.719583,0.125013,909,4008,4917,2,3
140,141,2011-05-21,2,2011,5,False,6,False,1,24.7025,28.59875,0.626667,0.12065,2258,3547,5805,2,3
141,142,2011-05-22,2,2011,5,False,0,False,1,24.770847,28.725,0.749583,0.148008,1576,3084,4660,2,3
142,143,2011-05-23,2,2011,5,False,1,True,2,25.898346999999998,29.5148,0.81,0.233842,836,3438,4274,3,3
143,144,2011-05-24,2,2011,5,False,2,True,2,27.060000000000002,30.240650000000002,0.740833,0.207092,659,3833,4492,3,3
144,145,2011-05-25,2,2011,5,False,3,True,1,27.094153,30.7771,0.69625,0.154233,740,4238,4978,3,3
145,146,2011-05-26,2,2011,5,False,4,True,1,29.041653,32.7344,0.6775,0.199642,758,3919,4677,3,3
146,147,2011-05-27,2,2011,5,False,5,True,1,27.948347000000002,31.8504,0.65375,0.240679,871,3808,4679,3,3
147,148,2011-05-28,2,2011,5,False,6,False,1,26.889153,30.61895,0.729583,0.230092,2001,2757,4758,3,3
148,149,2011-05-29,2,2011,5,False,0,False,1,27.3675,30.777500000000003,0.81875,0.213938,2355,2433,4788,3,3
149,150,2011-05-30,2,2011,5,True,1,False,1,30.066653000000002,33.5546,0.685,0.131225,1549,2549,4098,3,3
150,151,2011-05-31,2,2011,5,False,2,True,1,31.775000000000002,36.26915,0.636667,0.111329,673,3309,3982,3,4
151,152,2011-06-01,2,2011,6,False,3,True,2,31.330847000000002,36.04835,0.677083,0.207092,513,3461,3974,3,4
152,153,2011-06-02,2,2011,6,False,4,True,1,29.314999999999998,32.1971,0.305,0.292287,736,4232,4968,3,3
153,154,2011-06-03,2,2011,6,False,5,True,1,25.419999999999998,29.356650000000002,0.354167,0.253121,898,4414,5312,3,3
154,155,2011-06-04,2,2011,6,False,6,False,1,26.035,29.7348,0.45625,0.123142,1869,3473,5342,3,3
155,156,2011-06-05,2,2011,6,False,0,False,2,26.581653000000003,30.8402,0.6525,0.138692,1685,3221,4906,3,3
156,157,2011-06-06,2,2011,6,False,1,True,1,27.811653,31.0929,0.6,0.121896,673,3875,4548,3,3
157,158,2011-06-07,2,2011,6,False,2,True,1,29.0075,32.7975,0.597917,0.187808,763,4070,4833,3,3
158,159,2011-06-08,2,2011,6,False,3,True,1,31.809153,36.36395,0.622083,0.136817,676,3725,4401,3,4
159,160,2011-06-09,2,2011,6,False,4,True,2,33.141653,37.87895,0.568333,0.149883,563,3352,3915,3,4
160,161,2011-06-10,2,2011,6,False,5,True,1,30.955000000000002,35.1646,0.605,0.140554,815,3771,4586,3,4
161,162,2011-06-11,2,2011,6,False,6,False,1,29.724999999999998,33.901900000000005,0.654583,0.15485,1729,3237,4966,3,3
162,163,2011-06-12,2,2011,6,False,0,False,1,28.392500000000002,32.166250000000005,0.747917,0.163567,1467,2993,4460,3,3
163,164,2011-06-13,2,2011,6,False,1,True,1,26.035,30.082700000000003,0.494583,0.30535,863,4157,5020,3,3
164,165,2011-06-14,2,2011,6,False,2,True,1,24.770847,29.5773,0.507083,0.269283,727,4164,4891,2,3
165,166,2011-06-15,2,2011,6,False,3,True,1,25.693347,29.3877,0.471667,0.167912,769,4411,5180,3,3
166,167,2011-06-16,2,2011,6,False,4,True,2,25.761653000000003,29.767300000000002,0.688333,0.206471,545,3222,3767,3,3
167,168,2011-06-17,2,2011,6,False,5,True,1,26.615847000000002,30.01915,0.735833,0.143029,863,3981,4844,3,3
168,169,2011-06-18,2,2011,6,False,6,False,1,28.563347,32.197700000000005,0.670417,0.119408,1807,3312,5119,3,3
169,170,2011-06-19,2,2011,6,False,0,False,2,28.665847,32.292300000000004,0.666667,0.102,1639,3105,4744,3,3
170,171,2011-06-20,2,2011,6,False,1,True,2,26.035,29.767300000000002,0.74625,0.155475,699,3311,4010,3,3
171,172,2011-06-21,3,2011,6,False,2,True,2,27.914153000000002,31.8823,0.770417,0.171025,774,4061,4835,3,3
172,173,2011-06-22,3,2011,6,False,3,True,1,30.066653000000002,34.69145,0.7075,0.172262,661,3846,4507,3,4
173,174,2011-06-23,3,2011,6,False,4,True,2,29.861653,34.69165,0.703333,0.238804,746,4044,4790,3,4
174,175,2011-06-24,3,2011,6,False,5,True,1,29.690847,32.82915,0.573333,0.222025,969,4022,4991,3,3
175,176,2011-06-25,3,2011,6,False,6,False,1,28.494999999999997,32.16565,0.483333,0.209571,1782,3420,5202,3,3
176,177,2011-06-26,3,2011,6,False,0,False,1,27.880000000000003,31.88145,0.513333,0.0945333,1920,3385,5305,3,3
177,178,2011-06-27,3,2011,6,False,1,True,2,27.982499999999998,31.8502,0.658333,0.107588,854,3854,4708,3,3
178,179,2011-06-28,3,2011,6,False,2,True,1,30.510847000000002,34.6279,0.634167,0.144283,732,3916,4648,3,4
179,180,2011-06-29,3,2011,6,False,3,True,1,29.861653,32.7344,0.497917,0.261821,848,4377,5225,3,3
180,181,2011-06-30,3,2011,6,False,4,True,1,28.563347,31.8504,0.434167,0.185312,1027,4488,5515,3,3
181,182,2011-07-01,3,2011,7,False,5,True,1,29.622500000000002,32.6081,0.39625,0.102608,1246,4116,5362,3,3
182,183,2011-07-02,3,2011,7,False,6,False,1,30.271653,33.3654,0.444583,0.115062,2204,2915,5119,3,3
183,184,2011-07-03,3,2011,7,False,0,False,2,29.383347,33.42875,0.6825,0.228858,2282,2367,4649,3,3
184,185,2011-07-04,3,2011,7,True,1,False,2,29.793346999999997,33.27085,0.637917,0.0814792,3065,2978,6043,3,3
185,186,2011-07-05,3,2011,7,False,2,True,1,30.613346999999997,34.816900000000004,0.590417,0.126258,1031,3634,4665,3,4
186,187,2011-07-06,3,2011,7,False,3,True,1,29.52,34.28165,0.743333,0.149883,784,3845,4629,3,4
187,188,2011-07-07,3,2011,7,False,4,True,1,30.75,34.34355,0.65125,0.1592,754,3838,4592,3,4
188,189,2011-07-08,3,2011,7,False,5,True,2,29.075847,33.524150000000006,0.757917,0.225129,692,3348,4040,3,3
189,190,2011-07-09,3,2011,7,False,6,False,1,30.066653000000002,33.2079,0.609167,0.167912,1988,3348,5336,3,3
190,191,2011-07-10,3,2011,7,False,0,False,1,30.6475,34.50125,0.578333,0.183471,1743,3138,4881,3,4
191,192,2011-07-11,3,2011,7,False,1,True,1,31.2625,36.4902,0.635833,0.282337,723,3363,4086,3,4
192,193,2011-07-12,3,2011,7,False,2,True,1,32.560846999999995,36.96375,0.559167,0.200254,662,3596,4258,3,4
193,194,2011-07-13,3,2011,7,False,3,True,1,30.613346999999997,34.4702,0.631667,0.146133,748,3594,4342,3,4
194,195,2011-07-14,3,2011,7,False,4,True,1,27.914153000000002,31.7552,0.47625,0.240667,888,4196,5084,3,3
195,196,2011-07-15,3,2011,7,False,5,True,1,27.196652999999998,31.21855,0.59125,0.182833,1318,4220,5538,3,3
196,197,2011-07-16,3,2011,7,False,6,False,1,28.153347,31.91315,0.585,0.208342,2418,3505,5923,3,3
197,198,2011-07-17,3,2011,7,False,0,False,1,29.485847,33.49165,0.604167,0.245033,2006,3296,5302,3,3
198,199,2011-07-18,3,2011,7,False,1,True,1,30.613346999999997,35.19625,0.65125,0.215804,841,3617,4458,3,4
199,200,2011-07-19,3,2011,7,False,2,True,1,31.843347,37.37395,0.650417,0.1306,752,3789,4541,3,4
200,201,2011-07-20,3,2011,7,False,3,True,1,31.501653,37.3425,0.707083,0.113817,644,3688,4332,3,4
201,202,2011-07-21,3,2011,7,False,4,True,2,33.415,41.31855,0.69125,0.222021,632,3152,3784,3,4
202,203,2011-07-22,3,2011,7,False,5,True,1,34.781653,42.0448,0.580417,0.1331,562,2825,3387,4,4
203,204,2011-07-23,3,2011,7,False,6,False,1,34.815847,40.214349999999996,0.5,0.131221,987,2298,3285,4,4
204,205,2011-07-24,3,2011,7,False,0,False,1,34.03,39.74145,0.550833,0.169171,1050,2556,3606,4,4
205,206,2011-07-25,3,2011,7,False,1,True,1,30.476653000000002,36.0479,0.757083,0.0908083,568,3272,3840,3,4
206,207,2011-07-26,3,2011,7,False,2,True,1,31.638347,34.84895,0.540833,0.200258,750,3840,4590,3,4
207,208,2011-07-27,3,2011,7,False,3,True,1,31.775000000000002,34.53335,0.402917,0.183463,755,3901,4656,3,4
208,209,2011-07-28,3,2011,7,False,4,True,1,31.945847,36.995,0.583333,0.178479,606,3784,4390,3,4
209,210,2011-07-29,3,2011,7,False,5,True,1,34.371653,39.29835,0.5425,0.174138,670,3176,3846,4,4
210,211,2011-07-30,3,2011,7,False,6,False,1,32.970847,36.42685,0.465833,0.168537,1559,2916,4475,3,4
211,212,2011-07-31,3,2011,7,False,0,False,1,33.039153,36.4898,0.480833,0.164813,1524,2778,4302,3,4
212,213,2011-08-01,3,2011,8,False,1,True,1,31.638347,35.1646,0.550833,0.156717,729,3537,4266,3,4
213,214,2011-08-02,3,2011,8,False,2,True,1,32.116653,35.35355,0.49125,0.20585,801,4044,4845,3,4
214,215,2011-08-03,3,2011,8,False,3,True,2,29.998347,33.99685,0.6575,0.135583,467,3107,3574,3,3
215,216,2011-08-04,3,2011,8,False,4,True,2,29.11,33.2394,0.7575,0.19715,799,3777,4576,3,3
216,217,2011-08-05,3,2011,8,False,5,True,1,29.144153000000003,32.82835,0.630833,0.184696,1023,3843,4866,3,3
217,218,2011-08-06,3,2011,8,False,6,False,2,29.383347,33.807700000000004,0.755,0.22825,1521,2773,4294,3,3
218,219,2011-08-07,3,2011,8,False,0,False,1,30.442500000000003,35.7646,0.752917,0.201487,1298,2487,3785,3,4
219,220,2011-08-08,3,2011,8,False,1,True,1,31.365000000000002,35.16415,0.592083,0.192175,846,3480,4326,3,4
220,221,2011-08-09,3,2011,8,False,2,True,1,31.775000000000002,36.20605,0.570417,0.151121,907,3695,4602,3,4
221,222,2011-08-10,3,2011,8,False,3,True,1,31.433346999999998,34.24915,0.424167,0.200258,884,3896,4780,3,4
222,223,2011-08-11,3,2011,8,False,4,True,1,29.4175,32.57605,0.42375,0.164796,812,3980,4792,3,3
223,224,2011-08-12,3,2011,8,False,5,True,1,29.041653,32.7021,0.415,0.125621,1051,3854,4905,3,3
224,225,2011-08-13,3,2011,8,False,6,False,2,28.119153,32.2929,0.729583,0.211454,1504,2646,4150,3,3
225,226,2011-08-14,3,2011,8,False,0,False,2,27.743347,31.219400000000004,0.8175,0.222633,1338,2482,3820,3,3
226,227,2011-08-15,3,2011,8,False,1,True,1,27.299153,30.80835,0.712083,0.208954,775,3563,4338,3,3
227,228,2011-08-16,3,2011,8,False,2,True,1,28.734153000000003,32.29185,0.578333,0.236329,721,4004,4725,3,3
228,229,2011-08-17,3,2011,8,False,3,True,1,29.656653,33.33355,0.575417,0.143667,668,4026,4694,3,3
229,230,2011-08-18,3,2011,8,False,4,True,1,29.178347000000002,33.1129,0.654583,0.233208,639,3166,3805,3,3
230,231,2011-08-19,3,2011,8,False,5,True,2,28.085,31.661050000000003,0.722917,0.139308,797,3356,4153,3,3
231,232,2011-08-20,3,2011,8,False,6,False,1,28.5975,32.4498,0.674167,0.104467,1914,3277,5191,3,3
