,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_group
26,27,2011-01-02,1,2011,1,2,False,0,False,2,0.42,0.4242,1.0,0.2836,1,8,9,1
27,28,2011-01-02,1,2011,1,3,False,0,False,2,0.46,0.4545,0.94,0.194,2,4,6,1
28,29,2011-01-02,1,2011,1,4,False,0,False,2,0.46,0.4545,0.94,0.194,2,1,3,1
29,30,2011-01-02,1,2011,1,6,False,0,False,3,0.42,0.4242,0.77,0.2985,0,2,2,1
30,31,2011-01-02,1,2011,1,7,False,0,False,2,0.4,0.4091,0.76,0.194,0,1,1,2
31,32,2011-01-02,1,2011,1,8,False,0,False,3,0.4,0.4091,0.71,0.2239,0,8,8,2
32,33,2011-01-02,1,2011,1,9,False,0,False,2,0.38,0.3939,0.76,0.2239,1,19,20,2
33,34,2011-01-02,1,2011,1,10,False,0,False,2,0.36,0.3485,0.81,0.2239,7,46,53,2
34,35,2011-01-02,1,2011,1,11,False,0,False,2,0.36,0.3333,0.71,0.2537,16,54,70,2
35,36,2011-01-02,1,2011,1,12,False,0,False,2,0.36,0.3333,0.66,0.2985,20,73,93,2
36,37,2011-01-02,1,2011,1,13,False,0,False,2,0.36,0.3485,0.66,0.1343,11,64,75,3
37,38,2011-01-02,1,2011,1,14,False,0,False,3,0.36,0.3485,0.76,0.194,4,55,59,3
38,39,2011-01-02,1,2011,1,15,False,0,False,3,0.34,0.3333,0.81,0.1642,19,55,74,3
39,40,2011-01-02,1,2011,1,16,False,0,False,3,0.34,0.3333,0.71,0.1642,9,67,76,3
40,41,2011-01-02,1,2011,1,17,False,0,False,1,0.34,0.3333,0.57,0.194,7,58,65,3
41,42,2011-01-02,1,2011,1,18,False,0,False,2,0.36,0.3333,0.46,0.3284,10,43,53,3
42,43,2011-01-02,1,2011,1,19,False,0,False,1,0.32,0.2879,0.42,0.4478,1,29,30,4
43,44,2011-01-02,1,2011,1,20,False,0,False,1,0.3,0.2727,0.39,0.3582,5,17,22,4
44,45,2011-01-02,1,2011,1,21,False,0,False,1,0.26,0.2273,0.44,0.3284,11,20,31,4
45,46,2011-01-02,1,2011,1,22,False,0,False,1,0.24,0.2121,0.44,0.2985,0,9,9,4
46,47,2011-01-02,1,2011,1,23,False,0,False,1,0.22,0.2273,0.47,0.1642,0,8,8,4
47,48,2011-01-03,1,2011,1,0,False,1,True,1,0.22,0.197,0.44,0.3582,0,5,5,1
48,49,2011-01-03,1,2011,1,1,False,1,True,1,0.2,0.1667,0.44,0.4179,0,2,2,1
49,50,2011-01-03,1,2011,1,4,False,1,True,1,0.16,0.1364,0.47,0.3881,0,1,1,1
50,51,2011-01-03,1,2011,1,5,False,1,True,1,0.16,0.1364,0.47,0.2836,0,3,3,1
51,52,2011-01-03,1,2011,1,6,False,1,True,1,0.14,0.1061,0.5,0.3881,0,30,30,1
52,53,2011-01-03,1,2011,1,7,False,1,True,1,0.14,0.1364,0.5,0.194,1,63,64,2
53,54,2011-01-03,1,2011,1,8,False,1,True,1,0.14,0.1212,0.5,0.2836,1,153,154,2
54,55,2011-01-03,1,2011,1,9,False,1,True,1,0.16,0.1364,0.43,0.3881,7,81,88,2
55,56,2011-01-03,1,2011,1,10,False,1,True,1,0.18,0.1667,0.43,0.2537,11,33,44,2
56,57,2011-01-03,1,2011,1,11,False,1,True,1,0.2,0.1818,0.4,0.3284,10,41,51,2
57,58,2011-01-03,1,2011,1,12,False,1,True,1,0.22,0.2121,0.35,0.2985,13,48,61,2
58,59,2011-01-03,1,2011,1,13,False,1,True,1,0.24,0.2121,0.35,0.2836,8,53,61,3
59,60,2011-01-03,1,2011,1,14,False,1,True,1,0.26,0.2424,0.3,0.2836,11,66,77,3
60,61,2011-01-03,1,2011,1,15,False,1,True,1,0.26,0.2424,0.3,0.2537,14,58,72,3
61,62,2011-01-03,1,2011,1,16,False,1,True,1,0.26,0.2424,0.3,0.2537,9,67,76,3
62,63,2011-01-03,1,2011,1,17,False,1,True,1,0.24,0.2273,0.3,0.2239,11,146,157,3
63,64,2011-01-03,1,2011,1,18,False,1,True,1,0.24,0.2576,0.32,0.1045,9,148,157,3
64,65,2011-01-03,1,2011,1,19,False,1,True,1,0.2,0.2576,0.47,0.0,8,102,110,4
65,66,2011-01-03,1,2011,1,20,False,1,True,1,0.2,0.2273,0.47,0.1045,3,49,52,4
66,67,2011-01-03,1,2011,1,21,False,1,True,1,0.18,0.197,0.64,0.1343,3,49,52,4
67,68,2011-01-03,1,2011,1,22,False,1,True,1,0.14,0.1515,0.69,0.1343,0,20,20,4
68,69,2011-01-03,1,2011,1,23,False,1,True,1,0.18,0.2121,0.55,0.1045,1,11,12,4
69,70,2011-01-04,1,2011,1,0,False,2,True,1,0.16,0.1818,0.55,0.1045,0,5,5,1
70,71,2011-01-04,1,2011,1,1,False,2,True,1,0.16,0.1818,0.59,0.1045,0,2,2,1
71,72,2011-01-04,1,2011,1,2,False,2,True,1,0.14,0.1515,0.63,0.1343,0,1,1,1
72,73,2011-01-04,1,2011,1,4,False,2,True,1,0.14,0.1818,0.63,0.0896,0,2,2,1
73,74,2011-01-04,1,2011,1,5,False,2,True,1,0.12,0.1515,0.68,0.1045,0,4,4,1
74,75,2011-01-04,1,2011,1,6,False,2,True,1,0.12,0.1515,0.74,0.1045,0,36,36,1
75,76,2011-01-04,1,2011,1,7,False,2,True,1,0.12,0.1515,0.74,0.1343,2,92,94,2
76,77,2011-01-04,1,2011,1,8,False,2,True,1,0.14,0.1515,0.69,0.1642,2,177,179,2
77,78,2011-01-04,1,2011,1,9,False,2,True,1,0.16,0.1515,0.64,0.2239,2,98,100,2
78,79,2011-01-04,1,2011,1,10,False,2,True,2,0.16,0.1364,0.69,0.3284,5,37,42,2
79,80,2011-01-04,1,2011,1,11,False,2,True,1,0.22,0.2121,0.51,0.2985,7,50,57,2
80,81,2011-01-04,1,2011,1,12,False,2,True,1,0.22,0.2273,0.51,0.1642,12,66,78,2
81,82,2011-01-04,1,2011,1,13,False,2,True,1,0.24,0.2273,0.56,0.194,18,79,97,3
82,83,2011-01-04,1,2011,1,14,False,2,True,1,0.26,0.2576,0.52,0.2239,9,54,63,3
83,84,2011-01-04,1,2011,1,15,False,2,True,1,0.28,0.2727,0.52,0.2537,17,48,65,3
84,85,2011-01-04,1,2011,1,16,False,2,True,1,0.3,0.2879,0.49,0.2537,15,68,83,3
85,86,2011-01-04,1,2011,1,17,False,2,True,1,0.28,0.2727,0.48,0.2239,10,202,212,3
86,87,2011-01-04,1,2011,1,18,False,2,True,1,0.26,0.2576,0.48,0.194,3,179,182,3
87,88,2011-01-04,1,2011,1,19,False,2,True,1,0.24,0.2576,0.48,0.1045,2,110,112,4
88,89,2011-01-04,1,2011,1,20,False,2,True,1,0.24,0.2576,0.48,0.1045,1,53,54,4
89,90,2011-01-04,1,2011,1,21,False,2,True,1,0.22,0.2727,0.64,0.0,0,48,48,4
90,91,2011-01-04,1,2011,1,22,False,2,True,1,0.22,0.2576,0.64,0.0896,1,34,35,4
91,92,2011-01-04,1,2011,1,23,False,2,True,1,0.2,0.2273,0.69,0.0896,2,9,11,4
92,93,2011-01-05,1,2011,1,0,False,3,True,1,0.2,0.2576,0.64,0.0,0,6,6,1
93,94,2011-01-05,1,2011,1,1,False,3,True,1,0.16,0.197,0.74,0.0896,0,6,6,1
94,95,2011-01-05,1,2011,1,2,False,3,True,1,0.16,0.197,0.74,0.0896,0,2,2,1
95,96,2011-01-05,1,2011,1,4,False,3,True,1,0.24,0.2273,0.48,0.2239,0,2,2,1
96,97,2011-01-05,1,2011,1,5,False,3,True,1,0.22,0.2273,0.47,0.1642,0,3,3,1
97,98,2011-01-05,1,2011,1,6,False,3,True,1,0.2,0.197,0.47,0.2239,0,33,33,1
98,99,2011-01-05,1,2011,1,7,False,3,True,1,0.18,0.1818,0.43,0.194,1,87,88,2
99,100,2011-01-05,1,2011,1,8,False,3,True,1,0.2,0.1818,0.4,0.2985,3,192,195,2
100,101,2011-01-05,1,2011,1,9,False,3,True,1,0.22,0.197,0.37,0.3284,6,109,115,2
101,102,2011-01-05,1,2011,1,10,False,3,True,1,0.22,0.197,0.37,0.3284,4,53,57,2
102,103,2011-01-05,1,2011,1,11,False,3,True,1,0.26,0.2273,0.33,0.3284,12,34,46,2
103,104,2011-01-05,1,2011,1,12,False,3,True,1,0.26,0.2273,0.33,0.3284,5,74,79,2
104,105,2011-01-05,1,2011,1,13,False,3,True,1,0.28,0.2576,0.3,0.2985,6,65,71,3
105,106,2011-01-05,1,2011,1,14,False,3,True,1,0.3,0.2879,0.28,0.194,10,52,62,3
106,107,2011-01-05,1,2011,1,15,False,3,True,1,0.3,0.2879,0.28,0.194,7,55,62,3
107,108,2011-01-05,1,2011,1,16,False,3,True,1,0.3,0.3182,0.28,0.0896,4,85,89,3
108,109,2011-01-05,1,2011,1,17,False,3,True,1,0.24,0.2273,0.38,0.194,4,186,190,3
109,110,2011-01-05,1,2011,1,18,False,3,True,1,0.24,0.2424,0.38,0.1343,3,166,169,3
110,111,2011-01-05,1,2011,1,19,False,3,True,1,0.24,0.2576,0.38,0.1045,5,127,132,4
111,112,2011-01-05,1,2011,1,20,False,3,True,1,0.22,0.2273,0.47,0.1642,7,82,89,4
112,113,2011-01-05,1,2011,1,21,False,3,True,1,0.2,0.197,0.51,0.194,3,40,43,4
113,114,2011-01-05,1,2011,1,22,False,3,True,1,0.18,0.197,0.55,0.1343,1,41,42,4
114,115,2011-01-05,1,2011,1,23,False,3,True,1,0.2,0.2576,0.47,0.0,1,18,19,4
115,116,2011-01-06,1,2011,1,0,False,4,True,1,0.18,0.2424,0.55,0.0,0,11,11,1
116,117,2011-01-06,1,2011,1,1,False,4,True,1,0.16,0.2273,0.64,0.0,0,4,4,1
117,118,2011-01-06,1,2011,1,2,False,4,True,1,0.16,0.2273,0.64,0.0,0,2,2,1
118,119,2011-01-06,1,2011,1,4,False,4,True,2,0.16,0.197,0.64,0.0896,0,1,1,1
119,120,2011-01-06,1,2011,1,5,False,4,True,2,0.14,0.1818,0.69,0.0896,0,4,4,1
120,121,2011-01-06,1,2011,1,6,False,4,True,2,0.14,0.1667,0.63,0.1045,0,36,36,1
121,122,2011-01-06,1,2011,1,7,False,4,True,2,0.16,0.2273,0.59,0.0,0,95,95,2
122,123,2011-01-06,1,2011,1,8,False,4,True,1,0.16,0.2273,0.59,0.0,3,216,219,2
123,124,2011-01-06,1,2011,1,9,False,4,True,2,0.18,0.2424,0.51,0.0,6,116,122,2
124,125,2011-01-06,1,2011,1,10,False,4,True,1,0.2,0.2576,0.47,0.0,3,42,45,2
125,126,2011-01-06,1,2011,1,11,False,4,True,1,0.22,0.2576,0.44,0.0896,2,57,59,2
126,127,2011-01-06,1,2011,1,12,False,4,True,1,0.26,0.2879,0.35,0.0,6,78,84,2
127,128,2011-01-06,1,2011,1,13,False,4,True,1,0.26,0.2727,0.35,0.1045,12,55,67,3
128,129,2011-01-06,1,2011,1,14,False,4,True,1,0.28,0.2727,0.36,0.1642,11,59,70,3
129,130,2011-01-06,1,2011,1,15,False,4,True,1,0.28,0.2727,0.36,0.0,8,54,62,3
130,131,2011-01-06,1,2011,1,16,False,4,True,1,0.26,0.2576,0.38,0.1642,12,74,86,3
131,132,2011-01-06,1,2011,1,17,False,4,True,1,0.22,0.2273,0.51,0.1642,9,163,172,3
132,133,2011-01-06,1,2011,1,18,False,4,True,1,0.22,0.2273,0.51,0.1343,5,158,163,3
133,134,2011-01-06,1,2011,1,19,False,4,True,1,0.22,0.2576,0.55,0.0896,3,109,112,4
134,135,2011-01-06,1,2011,1,20,False,4,True,1,0.2,0.2121,0.51,0.1642,3,66,69,4
135,136,2011-01-06,1,2011,1,21,False,4,True,2,0.22,0.2121,0.55,0.2239,0,48,48,4
136,137,2011-01-06,1,2011,1,22,False,4,True,2,0.22,0.2121,0.51,0.2836,1,51,52,4
137,138,2011-01-06,1,2011,1,23,False,4,True,2,0.2,0.197,0.59,0.194,4,19,23,4
138,139,2011-01-07,1,2011,1,0,False,5,True,2,0.2,0.197,0.64,0.194,4,13,17,1
139,140,2011-01-07,1,2011,1,1,False,5,True,2,0.2,0.197,0.69,0.2239,2,5,7,1
140,141,2011-01-07,1,2011,1,2,False,5,True,2,0.2,0.197,0.69,0.2239,0,1,1,1
141,142,2011-01-07,1,2011,1,4,False,5,True,2,0.2,0.2121,0.69,0.1343,0,1,1,1
142,143,2011-01-07,1,2011,1,5,False,5,True,3,0.22,0.2727,0.55,0.0,0,5,5,1
143,144,2011-01-07,1,2011,1,6,False,5,True,2,0.2,0.2576,0.69,0.0,8,26,34,1
144,145,2011-01-07,1,2011,1,7,False,5,True,1,0.2,0.2121,0.69,0.1343,8,76,84,2
145,146,2011-01-07,1,2011,1,8,False,5,True,1,0.2,0.197,0.51,0.2537,20,190,210,2
146,147,2011-01-07,1,2011,1,9,False,5,True,1,0.2,0.1818,0.47,0.2985,9,125,134,2
147,148,2011-01-07,1,2011,1,10,False,5,True,1,0.22,0.197,0.37,0.3284,16,47,63,2
148,149,2011-01-07,1,2011,1,11,False,5,True,2,0.2,0.197,0.4,0.2239,19,48,67,2
149,150,2011-01-07,1,2011,1,12,False,5,True,2,0.2,0.197,0.37,0.2537,9,50,59,2
150,151,2011-01-07,1,2011,1,13,False,5,True,2,0.2,0.1818,0.37,0.2836,9,64,73,3
151,152,2011-01-07,1,2011,1,14,False,5,True,2,0.2,0.197,0.4,0.2537,7,43,50,3
152,153,2011-01-07,1,2011,1,15,False,5,True,2,0.2,0.2121,0.37,0.1642,9,63,72,3
153,154,2011-01-07,1,2011,1,16,False,5,True,2,0.2,0.2121,0.37,0.1642,5,82,87,3
154,155,2011-01-07,1,2011,1,17,False,5,True,2,0.2,0.2576,0.37,0.0,9,178,187,3
155,156,2011-01-07,1,2011,1,18,False,5,True,1,0.2,0.2273,0.4,0.0896,7,116,123,3
156,157,2011-01-07,1,2011,1,19,False,5,True,1,0.16,0.197,0.55,0.0896,3,92,95,4
157,158,2011-01-07,1,2011,1,20,False,5,True,1,0.18,0.2121,0.47,0.1045,1,50,51,4
158,159,2011-01-07,1,2011,1,21,False,5,True,1,0.18,0.197,0.47,0.1343,0,39,39,4
159,160,2011-01-07,1,2011,1,22,False,5,True,2,0.18,0.197,0.43,0.1642,2,34,36,4
160,161,2011-01-07,1,2011,1,23,False,5,True,2,0.18,0.197,0.51,0.1642,1,14,15,4
161,162,2011-01-08,1,2011,1,0,False,6,False,2,0.18,0.197,0.51,0.1642,1,24,25,1
162,163,2011-01-08,1,2011,1,1,False,6,False,2,0.18,0.2121,0.55,0.0896,1,15,16,1
163,164,2011-01-08,1,2011,1,2,False,6,False,2,0.18,0.2424,0.55,0.0,3,13,16,1
164,165,2011-01-08,1,2011,1,3,False,6,False,3,0.18,0.197,0.55,0.1642,0,7,7,1
165,166,2011-01-08,1,2011,1,4,False,6,False,3,0.18,0.197,0.55,0.1642,0,1,1,1
166,167,2011-01-08,1,2011,1,5,False,6,False,2,0.16,0.1667,0.74,0.1642,0,5,5,1
167,168,2011-01-08,1,2011,1,6,False,6,False,2,0.16,0.1667,0.74,0.1642,0,2,2,1
168,169,2011-01-08,1,2011,1,7,False,6,False,2,0.16,0.1818,0.74,0.1045,1,8,9,2
169,170,2011-01-08,1,2011,1,8,False,6,False,3,0.16,0.1818,0.93,0.1045,0,15,15,2
170,171,2011-01-08,1,2011,1,9,False,6,False,3,0.16,0.1818,0.93,0.1045,0,20,20,2
171,172,2011-01-08,1,2011,1,10,False,6,False,2,0.18,0.197,0.8,0.1642,5,56,61,2
172,173,2011-01-08,1,2011,1,11,False,6,False,2,0.2,0.1818,0.69,0.3881,2,60,62,2
173,174,2011-01-08,1,2011,1,12,False,6,False,2,0.2,0.1818,0.59,0.3582,8,90,98,2
174,175,2011-01-08,1,2011,1,13,False,6,False,1,0.2,0.1818,0.44,0.3284,7,95,102,3
175,176,2011-01-08,1,2011,1,14,False,6,False,1,0.2,0.1667,0.32,0.4925,12,83,95,3
176,177,2011-01-08,1,2011,1,15,False,6,False,1,0.2,0.1667,0.32,0.4478,5,69,74,3
177,178,2011-01-08,1,2011,1,16,False,6,False,1,0.18,0.1364,0.29,0.4478,8,68,76,3
178,179,2011-01-08,1,2011,1,17,False,6,False,1,0.16,0.1212,0.37,0.5522,5,64,69,3
179,180,2011-01-08,1,2011,1,18,False,6,False,1,0.14,0.1212,0.39,0.2985,3,52,55,3
180,181,2011-01-08,1,2011,1,19,False,6,False,1,0.14,0.1212,0.36,0.2537,4,26,30,4
181,182,2011-01-08,1,2011,1,20,False,6,False,1,0.12,0.1212,0.36,0.2537,0,28,28,4
182,183,2011-01-08,1,2011,1,21,False,6,False,1,0.12,0.1061,0.39,0.3582,2,35,37,4
183,184,2011-01-08,1,2011,1,22,False,6,False,1,0.12,0.1061,0.36,0.3881,1,33,34,4
184,185,2011-01-08,1,2011,1,23,False,6,False,1,0.1,0.0606,0.39,0.4478,0,22,22,4
185,186,2011-01-09,1,2011,1,0,False,0,False,1,0.1,0.0758,0.42,0.3881,1,24,25,1
186,187,2011-01-09,1,2011,1,1,False,0,False,1,0.1,0.0606,0.42,0.4627,0,12,12,1
187,188,2011-01-09,1,2011,1,2,False,0,False,1,0.1,0.0606,0.46,0.4627,0,11,11,1
188,189,2011-01-09,1,2011,1,3,False,0,False,1,0.1,0.0758,0.46,0.4179,0,4,4,1
189,190,2011-01-09,1,2011,1,4,False,0,False,1,0.08,0.0909,0.53,0.194,0,1,1,1
190,191,2011-01-09,1,2011,1,5,False,0,False,1,0.08,0.0909,0.53,0.194,0,1,1,1
191,192,2011-01-09,1,2011,1,6,False,0,False,1,0.1,0.0909,0.49,0.2836,0,1,1,1
192,193,2011-01-09,1,2011,1,7,False,0,False,1,0.08,0.0909,0.53,0.194,1,5,6,2
193,194,2011-01-09,1,2011,1,8,False,0,False,1,0.1,0.0909,0.49,0.2836,0,10,10,2
194,195,2011-01-09,1,2011,1,9,False,0,False,1,0.12,0.0758,0.46,0.5224,0,19,19,2
195,196,2011-01-09,1,2011,1,10,False,0,False,1,0.14,0.1061,0.43,0.3881,0,49,49,2
196,197,2011-01-09,1,2011,1,11,False,0,False,1,0.16,0.1212,0.4,0.5224,2,47,49,2
197,198,2011-01-09,1,2011,1,12,False,0,False,1,0.18,0.1364,0.37,0.4478,4,79,83,2
198,199,2011-01-09,1,2011,1,13,False,0,False,1,0.2,0.1667,0.34,0.4478,6,69,75,3
199,200,2011-01-09,1,2011,1,14,False,0,False,1,0.22,0.1818,0.32,0.4627,8,64,72,3
200,201,2011-01-09,1,2011,1,15,False,0,False,1,0.22,0.197,0.35,0.3582,5,77,82,3
201,202,2011-01-09,1,2011,1,16,False,0,False,1,0.2,0.1667,0.34,0.4478,13,79,92,3
202,203,2011-01-09,1,2011,1,17,False,0,False,1,0.18,0.1515,0.37,0.3881,3,59,62,3
203,204,2011-01-09,1,2011,1,18,False,0,False,1,0.16,0.1364,0.4,0.3284,4,44,48,3
204,205,2011-01-09,1,2011,1,19,False,0,False,1,0.16,0.1364,0.43,0.3284,1,40,41,4
205,206,2011-01-09,1,2011,1,20,False,0,False,1,0.14,0.1212,0.46,0.2537,0,38,38,4
206,207,2011-01-09,1,2011,1,21,False,0,False,1,0.14,0.1061,0.46,0.4179,1,19,20,4
207,208,2011-01-09,1,2011,1,22,False,0,False,1,0.14,0.1212,0.46,0.2985,5,10,15,4
208,209,2011-01-09,1,2011,1,23,False,0,False,1,0.12,0.1364,0.5,0.194,0,6,6,4
209,210,2011-01-10,1,2011,1,0,False,1,True,1,0.12,0.1212,0.5,0.2836,2,3,5,1
210,211,2011-01-10,1,2011,1,1,False,1,True,1,0.12,0.1212,0.5,0.2836,1,0,1,1
211,212,2011-01-10,1,2011,1,2,False,1,True,1,0.12,0.1212,0.5,0.2239,0,3,3,1
212,213,2011-01-10,1,2011,1,3,False,1,True,1,0.12,0.1212,0.5,0.2239,0,1,1,1
213,214,2011-01-10,1,2011,1,4,False,1,True,1,0.1,0.1212,0.54,0.1343,1,2,3,1
214,215,2011-01-10,1,2011,1,5,False,1,True,1,0.1,0.1061,0.54,0.2537,0,3,3,1
215,216,2011-01-10,1,2011,1,6,False,1,True,1,0.12,0.1212,0.5,0.2836,0,31,31,1
216,217,2011-01-10,1,2011,1,7,False,1,True,1,0.12,0.1212,0.5,0.2239,2,75,77,2
217,218,2011-01-10,1,2011,1,8,False,1,True,2,0.12,0.1212,0.5,0.2836,4,184,188,2
218,219,2011-01-10,1,2011,1,9,False,1,True,2,0.14,0.1212,0.5,0.2537,2,92,94,2
219,220,2011-01-10,1,2011,1,10,False,1,True,2,0.14,0.1212,0.5,0.2985,0,31,31,2
220,221,2011-01-10,1,2011,1,11,False,1,True,2,0.16,0.1364,0.47,0.2836,2,28,30,2
221,222,2011-01-10,1,2011,1,12,False,1,True,2,0.2,0.1818,0.4,0.2836,5,47,52,2
222,223,2011-01-10,1,2011,1,13,False,1,True,2,0.2,0.1818,0.4,0.2836,4,50,54,3
223,224,2011-01-10,1,2011,1,14,False,1,True,2,0.2,0.197,0.4,0.2239,0,47,47,3
224,225,2011-01-10,1,2011,1,15,False,1,True,2,0.2,0.197,0.4,0.2239,2,43,45,3
225,226,2011-01-10,1,2011,1,16,False,1,True,1,0.2,0.2121,0.4,0.1343,4,70,74,3
226,227,2011-01-10,1,2011,1,17,False,1,True,1,0.2,0.2273,0.4,0.1045,4,174,178,3
227,228,2011-01-10,1,2011,1,18,False,1,True,1,0.2,0.197,0.4,0.2239,1,154,155,3
228,229,2011-01-10,1,2011,1,19,False,1,True,1,0.16,0.1667,0.47,0.1642,3,92,95,4
229,230,2011-01-10,1,2011,1,20,False,1,True,1,0.16,0.1667,0.5,0.1642,1,73,74,4
230,231,2011-01-10,1,2011,1,21,False,1,True,1,0.14,0.1364,0.59,0.194,1,37,38,4
231,232,2011-01-10,1,2011,1,22,False,1,True,1,0.14,0.1515,0.59,0.1642,2,22,24,4
232,233,2011-01-10,1,2011,1,23,False,1,True,1,0.14,0.1515,0.59,0.1642,0,18,18,4
233,234,2011-01-11,1,2011,1,0,False,2,True,1,0.14,0.1667,0.59,0.1045,2,10,12,1
234,235,2011-01-11,1,2011,1,1,False,2,True,1,0.14,0.1515,0.59,0.1642,0,3,3,1
235,236,2011-01-11,1,2011,1,2,False,2,True,2,0.16,0.1515,0.55,0.194,0,3,3,1
236,237,2011-01-11,1,2011,1,5,False,2,True,2,0.16,0.1818,0.55,0.1343,0,6,6,1
237,238,2011-01-11,1,2011,1,6,False,2,True,2,0.16,0.1818,0.55,0.1343,0,27,27,1
238,239,2011-01-11,1,2011,1,7,False,2,True,2,0.16,0.2273,0.55,0.0,2,97,99,2
239,240,2011-01-11,1,2011,1,8,False,2,True,2,0.18,0.2121,0.51,0.0896,3,214,217,2
240,241,2011-01-11,1,2011,1,9,False,2,True,2,0.18,0.197,0.51,0.1642,3,127,130,2
241,242,2011-01-11,1,2011,1,10,False,2,True,2,0.2,0.2121,0.51,0.1642,3,51,54,2
242,243,2011-01-11,1,2011,1,11,False,2,True,2,0.2,0.2121,0.47,0.1343,4,31,35,2
243,244,2011-01-11,1,2011,1,12,False,2,True,2,0.2,0.2273,0.51,0.1045,2,55,57,2
244,245,2011-01-11,1,2011,1,13,False,2,True,2,0.2,0.2273,0.59,0.0896,6,46,52,3
245,246,2011-01-11,1,2011,1,14,False,2,True,2,0.2,0.2273,0.59,0.0896,3,60,63,3
246,247,2011-01-11,1,2011,1,15,False,2,True,2,0.16,0.197,0.8,0.0896,2,45,47,3
247,248,2011-01-11,1,2011,1,16,False,2,True,2,0.16,0.1515,0.86,0.2239,4,72,76,3
248,249,2011-01-11,1,2011,1,17,False,2,True,2,0.16,0.1515,0.86,0.2239,6,130,136,3
249,250,2011-01-11,1,2011,1,18,False,2,True,3,0.16,0.1818,0.93,0.1045,1,94,95,3
250,251,2011-01-11,1,2011,1,19,False,2,True,3,0.16,0.2273,0.93,0.0,0,51,51,4
251,252,2011-01-11,1,2011,1,20,False,2,True,3,0.16,0.1515,0.93,0.194,0,32,32,4
252,253,2011-01-11,1,2011,1,21,False,2,True,3,0.16,0.197,0.86,0.0896,0,20,20,4
253,254,2011-01-11,1,2011,1,22,False,2,True,3,0.16,0.1818,0.93,0.1045,1,28,29,4
254,255,2011-01-11,1,2011,1,23,False,2,True,3,0.16,0.197,0.93,0.0896,1,18,19,4
255,256,2011-01-12,1,2011,1,0,False,3,True,2,0.16,0.197,0.86,0.0896,0,7,7,1
256,257,2011-01-12,1,2011,1,1,False,3,True,2,0.16,0.1818,0.86,0.1045,0,6,6,1
257,258,2011-01-12,1,2011,1,2,False,3,True,1,0.14,0.1515,0.86,0.1343,0,1,1,1
